Price,Close,High,Low,Open,Volume
2007-04-25,13089.8896484375,13107.4501953125,12951.419921875,12951.419921875,250170000
2007-04-26,13105.5,13132.7998046875,13068.1201171875,13088.83984375,251620000
2007-04-27,13120.9404296875,13148.0,13073.400390625,13104.0400390625,270910000
2007-04-30,13062.91015625,13162.0595703125,13061.5302734375,13120.2099609375,264090000
2007-05-01,13136.1396484375,13137.759765625,13041.2998046875,13062.75,248960000
2007-05-02,13211.8798828125,13256.330078125,13130.5302734375,13133.9404296875,251340000
2007-05-03,13241.3798828125,13246.8203125,13196.0302734375,13206.650390625,247240000
2007-05-04,13264.6201171875,13284.5302734375,13228.7802734375,13243.080078125,236320000
2007-05-07,13312.9697265625,13317.6904296875,13260.7998046875,13264.1298828125,206190000
2007-05-08,13309.0703125,13314.4296875,13237.5595703125,13309.400390625,225600000
2007-05-09,13362.8701171875,13369.2900390625,13278.349609375,13300.6201171875,237040000
2007-05-10,13215.1298828125,13359.1298828125,13210.900390625,13359.0498046875,224640000
2007-05-11,13326.2197265625,13333.4501953125,13212.0400390625,13212.2001953125,257840000
2007-05-14,13346.7802734375,13383.759765625,13297.0400390625,13325.8095703125,199620000
2007-05-15,13383.83984375,13481.599609375,13339.4697265625,13346.0498046875,265250000
2007-05-16,13487.5302734375,13489.5703125,13363.9296875,13486.9599609375,237790000
2007-05-17,13476.7197265625,13516.7099609375,13447.7900390625,13487.5302734375,195800000
2007-05-18,13556.5302734375,13558.48046875,13476.400390625,13476.400390625,282930000
2007-05-21,13542.8798828125,13586.0302734375,13529.1396484375,13556.5302734375,215550000
2007-05-22,13539.9501953125,13586.6796875,13528.98046875,13544.990234375,201290000
2007-05-23,13525.650390625,13609.759765625,13505.169921875,13540.83984375,208260000
2007-05-24,13441.1298828125,13624.5498046875,13423.900390625,13522.599609375,240810000
2007-05-25,13507.2802734375,13516.1396484375,13440.0703125,13441.9404296875,183470000
2007-05-29,13521.33984375,13564.66015625,13465.349609375,13507.2802734375,205620000
2007-05-30,13633.080078125,13636.08984375,13456.73046875,13517.8896484375,224780000
2007-05-31,13627.6396484375,13673.0703125,13614.7197265625,13633.0,243510000
2007-06-01,13668.1103515625,13692.0,13624.3896484375,13628.6904296875,212780000
2007-06-04,13676.3203125,13690.3798828125,13618.7802734375,13667.2099609375,177830000
2007-06-05,13595.4599609375,13673.509765625,13551.0,13673.1904296875,223040000
2007-06-06,13465.669921875,13591.0703125,13437.3095703125,13590.66015625,236830000
2007-06-07,13266.73046875,13480.2197265625,13259.8203125,13463.48046875,298880000
2007-06-08,13424.3896484375,13431.2197265625,13251.5302734375,13267.1396484375,242000000
2007-06-11,13424.9599609375,13478.1103515625,13381.6396484375,13424.3896484375,183300000
2007-06-12,13295.009765625,13449.5,13294.6103515625,13424.3896484375,233420000
2007-06-13,13482.349609375,13485.1201171875,13287.6201171875,13287.6201171875,253050000
2007-06-14,13553.73046875,13581.6103515625,13479.349609375,13482.4296875,228680000
2007-06-15,13639.48046875,13688.66015625,13556.490234375,13556.650390625,425080000
2007-06-18,13612.98046875,13667.9404296875,13608.759765625,13639.0,174380000
2007-06-19,13635.419921875,13652.169921875,13577.2197265625,13611.6796875,233720000
2007-06-20,13489.419921875,13674.3603515625,13483.25,13636.5595703125,274670000
2007-06-21,13545.83984375,13564.2099609375,13398.8701171875,13486.66015625,241170000
2007-06-22,13360.259765625,13545.1103515625,13359.6904296875,13545.0302734375,380870000
2007-06-25,13352.0498046875,13488.76953125,13299.7802734375,13360.08984375,251720000
2007-06-26,13337.66015625,13452.51953125,13308.7197265625,13352.3701171875,240950000
2007-06-27,13427.73046875,13433.009765625,13259.8603515625,13336.9296875,246010000
2007-06-28,13422.2802734375,13498.2900390625,13389.2802734375,13427.48046875,207130000
2007-06-29,13408.6201171875,13524.5400390625,13314.0,13422.6103515625,262110000
2007-07-02,13535.4296875,13537.8701171875,13409.51953125,13409.599609375,196410000
2007-07-03,13577.2998046875,13591.6904296875,13531.5302734375,13531.5302734375,111580000
2007-07-05,13565.83984375,13580.0595703125,13513.490234375,13576.240234375,188840000
2007-07-06,13611.6796875,13633.6298828125,13537.9501953125,13559.009765625,176040000
2007-07-09,13649.9697265625,13670.4599609375,13609.0,13612.66015625,192840000
2007-07-10,13501.7001953125,13649.240234375,13496.169921875,13648.58984375,274420000
2007-07-11,13577.8701171875,13590.9501953125,13474.7900390625,13500.400390625,224410000
2007-07-12,13861.73046875,13869.9404296875,13579.169921875,13579.330078125,300520000
2007-07-13,13907.25,13932.2900390625,13845.8798828125,13859.8603515625,223820000
2007-07-16,13950.98046875,13989.1103515625,13894.98046875,13907.08984375,209060000
2007-07-17,13971.5498046875,14021.9501953125,13942.849609375,13951.9599609375,266020000
2007-07-18,13918.2197265625,13965.9404296875,13823.599609375,13955.0498046875,324400000
2007-07-19,14000.41015625,14015.849609375,13918.7900390625,13918.7900390625,265390000
2007-07-20,13851.080078125,14009.26953125,13797.669921875,14000.73046875,377650000
2007-07-23,13943.419921875,13973.990234375,13851.73046875,13851.73046875,237450000
2007-07-24,13716.9501953125,13940.990234375,13701.58984375,13940.900390625,296990000
2007-07-25,13785.0703125,13822.2197265625,13674.83984375,13718.25,266860000
2007-07-26,13473.5703125,13783.4501953125,13335.2998046875,13783.1201171875,426880000
2007-07-27,13265.4697265625,13520.7998046875,13265.4697265625,13472.6796875,337120000
2007-07-30,13358.3095703125,13397.73046875,13219.1396484375,13266.2099609375,295450000
2007-07-31,13211.990234375,13498.5302734375,13199.7900390625,13360.66015625,319890000
2007-08-01,13362.3701171875,13393.01953125,13132.650390625,13211.08984375,355960000
2007-08-02,13463.330078125,13503.330078125,13350.419921875,13357.8203125,264830000
2007-08-03,13181.91015625,13471.7900390625,13175.240234375,13462.25,301800000
2007-08-06,13468.7802734375,13470.16015625,13158.580078125,13183.1298828125,311810000
2007-08-07,13504.2998046875,13608.1103515625,13347.169921875,13467.7197265625,273340000
2007-08-08,13657.8603515625,13695.8203125,13484.7900390625,13497.23046875,288040000
2007-08-09,13270.6796875,13652.330078125,13270.6796875,13652.330078125,362490000
2007-08-10,13239.5400390625,13306.51953125,13057.8603515625,13270.58984375,338560000
2007-08-13,13236.5302734375,13338.150390625,13219.4599609375,13239.5400390625,215260000
2007-08-14,13028.919921875,13269.7802734375,13018.26953125,13235.7197265625,269120000
2007-08-15,12861.4697265625,13119.3203125,12834.240234375,13021.9296875,272760000
2007-08-16,12845.7802734375,12885.849609375,12517.9404296875,12861.4697265625,457150000
2007-08-17,13079.080078125,13167.6796875,12847.8095703125,12848.0498046875,423940000
2007-08-20,13121.349609375,13181.66015625,12982.75,13079.080078125,231800000
2007-08-21,13090.8603515625,13178.330078125,13052.169921875,13120.0498046875,204000000
2007-08-22,13236.1298828125,13248.080078125,13088.259765625,13090.8603515625,205530000
2007-08-23,13235.8798828125,13298.6396484375,13169.150390625,13236.1298828125,198160000
2007-08-24,13378.8701171875,13381.4697265625,13208.650390625,13235.8798828125,186060000
2007-08-27,13322.1298828125,13387.330078125,13305.5498046875,13377.16015625,152440000
2007-08-28,13041.849609375,13318.599609375,13034.7802734375,13318.4296875,230470000
2007-08-29,13289.2900390625,13293.4404296875,13043.0703125,13043.0703125,227440000
2007-08-30,13238.73046875,13315.1396484375,13184.58984375,13287.91015625,193240000
2007-08-31,13357.740234375,13428.9501953125,13240.83984375,13240.83984375,234920000
2007-09-04,13448.8603515625,13494.0595703125,13317.5,13358.3896484375,262260000
2007-09-05,13305.4697265625,13443.169921875,13248.240234375,13442.849609375,231850000
2007-09-06,13363.349609375,13398.7099609375,13274.8203125,13306.4404296875,203600000
2007-09-07,13113.3798828125,13360.830078125,13082.169921875,13360.740234375,238300000
2007-09-10,13127.849609375,13207.1904296875,13021.9296875,13116.3896484375,221760000
2007-09-11,13308.3896484375,13325.9501953125,13129.150390625,13129.400390625,200160000
2007-09-12,13291.650390625,13360.009765625,13263.0302734375,13298.3095703125,195280000
2007-09-13,13424.8798828125,13469.26953125,13292.3798828125,13292.3798828125,209950000
2007-09-14,13442.51953125,13459.75,13323.83984375,13421.3896484375,204780000
2007-09-17,13403.419921875,13451.5400390625,13362.3701171875,13441.9501953125,169710000
2007-09-18,13739.3896484375,13739.9599609375,13403.1796875,13403.1796875,277620000
2007-09-19,13815.5595703125,13867.5,13739.8798828125,13740.6103515625,276590000
2007-09-20,13766.7001953125,13822.1396484375,13741.009765625,13813.51953125,200880000
2007-09-21,13820.1904296875,13877.169921875,13768.25,13768.330078125,419390000
2007-09-24,13759.0595703125,13874.41015625,13750.9296875,13821.5703125,236690000
2007-09-25,13778.650390625,13787.1904296875,13696.3095703125,13757.83984375,213040000
2007-09-26,13878.150390625,13915.7900390625,13779.2998046875,13779.2998046875,206560000
2007-09-27,13912.9404296875,13920.419921875,13868.150390625,13879.5302734375,156920000
2007-09-28,13895.6298828125,13924.8095703125,13850.26953125,13912.9404296875,203030000
2007-10-01,14087.5498046875,14115.509765625,13893.509765625,13895.7099609375,205720000
2007-10-02,14047.3095703125,14107.4697265625,14012.1103515625,14087.1396484375,169270000
2007-10-03,13968.0498046875,14038.9404296875,13947.73046875,14038.8603515625,178920000
2007-10-04,13974.3095703125,14010.41015625,13951.6298828125,13967.8896484375,143300000
2007-10-05,14066.009765625,14124.5400390625,13968.830078125,13969.0703125,183540000
2007-10-08,14043.73046875,14067.9599609375,14009.669921875,14065.3603515625,116420000
2007-10-09,14164.5302734375,14166.9697265625,14034.3896484375,14043.73046875,176740000
2007-10-10,14078.6904296875,14165.01953125,14009.509765625,14165.01953125,163280000
2007-10-11,14015.1201171875,14198.099609375,13950.25,14079.099609375,235090000
2007-10-12,14093.080078125,14101.76953125,14013.740234375,14016.33984375,178740000
2007-10-15,13984.7998046875,14118.51953125,13904.3203125,14092.4296875,220490000
2007-10-16,13912.9404296875,13992.0302734375,13877.900390625,13986.33984375,229920000
2007-10-17,13892.5400390625,14012.83984375,13774.669921875,13920.66015625,315420000
2007-10-18,13888.9599609375,13913.75,13820.349609375,13887.900390625,205540000
2007-10-19,13522.01953125,13888.4697265625,13511.9404296875,13888.4697265625,332350000
2007-10-22,13566.9697265625,13587.2197265625,13407.490234375,13521.6201171875,229440000
2007-10-23,13676.23046875,13684.599609375,13540.8798828125,13568.9296875,206550000
2007-10-24,13675.25,13690.4501953125,13470.16015625,13675.580078125,259150000
2007-10-25,13671.919921875,13741.259765625,13547.6298828125,13677.849609375,274330000
2007-10-26,13806.7001953125,13811.25,13675.25,13675.66015625,311390000
2007-10-29,13870.259765625,13901.400390625,13805.3095703125,13807.349609375,207930000
2007-10-30,13792.4697265625,13869.2900390625,13778.41015625,13869.0400390625,189730000
2007-10-31,13930.009765625,13962.5302734375,13767.6796875,13792.0595703125,277660000
2007-11-01,13567.8701171875,13924.16015625,13548.9296875,13924.16015625,335560000
2007-11-02,13595.099609375,13632.900390625,13446.01953125,13569.900390625,279780000
2007-11-05,13543.400390625,13618.26953125,13446.91015625,13592.580078125,259590000
2007-11-06,13660.9404296875,13669.7197265625,13511.8603515625,13542.33984375,252360000
2007-11-07,13300.01953125,13647.2900390625,13285.6298828125,13646.7197265625,273050000
2007-11-08,13266.2900390625,13354.0,13079.48046875,13299.7001953125,403680000
2007-11-09,13042.740234375,13262.1396484375,13017.2998046875,13261.169921875,356840000
2007-11-12,12987.5498046875,13162.6396484375,12981.0400390625,13039.16015625,291980000
2007-11-13,13307.08984375,13319.4501953125,12975.1103515625,12975.1103515625,298250000
2007-11-14,13231.009765625,13367.169921875,13197.83984375,13305.4697265625,267510000
2007-11-15,13110.0498046875,13262.1396484375,13055.830078125,13231.009765625,242570000
2007-11-16,13176.7900390625,13211.169921875,13050.5498046875,13109.48046875,314920000
2007-11-19,12958.4404296875,13176.2998046875,12937.6298828125,13176.2998046875,285790000
2007-11-20,13010.1396484375,13107.3701171875,12839.6796875,12955.919921875,325810000
2007-11-21,12799.0400390625,13007.7099609375,12786.0302734375,13006.650390625,284550000
2007-11-23,12980.8798828125,12980.8798828125,12796.0703125,12796.0703125,122250000
2007-11-26,12743.4404296875,13037.2998046875,12724.08984375,12979.990234375,265610000
2007-11-27,12958.4404296875,12991.849609375,12744.7802734375,12744.7802734375,296070000
2007-11-28,13289.4501953125,13325.8701171875,12958.0400390625,12958.0400390625,310080000
2007-11-29,13311.73046875,13346.26953125,13214.75,13287.91015625,201410000
2007-11-30,13371.7197265625,13466.990234375,13281.650390625,13314.25,312570000
2007-12-03,13314.5703125,13407.240234375,13296.2802734375,13368.2197265625,212170000
2007-12-04,13248.73046875,13316.2802734375,13237.58984375,13311.240234375,204940000
2007-12-05,13444.9599609375,13460.240234375,13244.009765625,13244.009765625,256800000
2007-12-06,13619.8896484375,13632.900390625,13426.1796875,13445.849609375,197270000
2007-12-07,13625.580078125,13668.099609375,13601.3603515625,13618.26953125,179420000
2007-12-10,13727.0302734375,13754.01953125,13623.5498046875,13623.5498046875,190220000
2007-12-11,13432.76953125,13780.1103515625,13413.740234375,13726.8701171875,280630000
2007-12-12,13473.900390625,13704.51953125,13321.6396484375,13434.7998046875,310470000
2007-12-13,13517.9599609375,13527.6298828125,13353.919921875,13473.98046875,248800000
2007-12-14,13339.849609375,13515.3603515625,13332.1298828125,13515.1103515625,245590000
2007-12-17,13167.2001953125,13339.4501953125,13158.419921875,13339.2001953125,243400000
2007-12-18,13232.4697265625,13279.4599609375,13092.0,13168.66015625,233020000
2007-12-19,13207.26953125,13300.4296875,13146.7900390625,13231.98046875,208330000
2007-12-20,13245.6396484375,13288.400390625,13153.6201171875,13206.4599609375,203910000
2007-12-21,13450.650390625,13473.98046875,13241.5703125,13241.66015625,430600000
2007-12-24,13550.0400390625,13563.48046875,13449.26953125,13450.73046875,86400000
2007-12-26,13551.6904296875,13563.3203125,13492.6796875,13547.9501953125,122410000
2007-12-27,13359.6103515625,13551.0400390625,13349.2802734375,13549.169921875,145770000
2007-12-28,13365.8701171875,13451.3798828125,13298.150390625,13361.23046875,142930000
2007-12-31,13264.8203125,13364.73046875,13246.5302734375,13364.16015625,167240000
2008-01-02,13043.9599609375,13279.5400390625,12991.3701171875,13261.8203125,239580000
2008-01-03,13056.7197265625,13137.9296875,13023.5595703125,13044.1201171875,200620000
2008-01-04,12800.1796875,13046.7197265625,12789.0400390625,13046.5595703125,304210000
2008-01-07,12827.490234375,12884.150390625,12733.83984375,12801.150390625,306700000
2008-01-08,12589.0703125,12906.419921875,12565.41015625,12820.900390625,322690000
2008-01-09,12735.3095703125,12738.6396484375,12501.759765625,12590.2099609375,332900000
2008-01-10,12853.08984375,12931.2900390625,12632.150390625,12733.1103515625,325330000
2008-01-11,12606.2998046875,12851.1396484375,12543.8701171875,12850.740234375,301890000
2008-01-14,12778.150390625,12794.5703125,12613.7001953125,12613.7802734375,245370000
2008-01-15,12501.1103515625,12777.5,12488.759765625,12777.5,339700000
2008-01-16,12466.16015625,12613.1298828125,12392.26953125,12476.8095703125,500040000
2008-01-17,12159.2099609375,12517.6103515625,12125.5595703125,12467.0498046875,439830000
2008-01-18,12099.2998046875,12341.5400390625,12022.48046875,12159.9404296875,483300000
2008-01-22,11971.1904296875,12092.7197265625,11634.8203125,12092.7197265625,506500000
2008-01-23,12270.169921875,12276.669921875,11644.8095703125,11969.080078125,536520000
2008-01-24,12378.6103515625,12399.1796875,12241.7998046875,12272.6904296875,387900000
